esp,ing
Hay aire acondicionado en el cuarto?.,Is there air conditioning in the room?
Se supone que no va a llover hoy.,It's not suppose to rain today
He oido que Texas es un sitio bonito.,I've heard Texas is beautiful place
Mi coche ha estado chocado de otro coche.,My car was hit by another car
Tienes un número de un taxi?,Do you have the number for a taxi?
Tienes eso en el tamaño once?,Do you have this in size 11?.
Piensas que va a llover mañana?,Do you think it's going torain tomorrow?
Quieres que venga a recogerte?,Do you want to come and pick you up?
Te llamare' en cuanto me vaya.,I'll call you when I leave.
He estado aqui desde hace dos dias.,I've been here for two days.
Ya es hora / Ya va siendo hora,It’s high time/About time
De nada (tras agradecimiento),Not at all/You’re welcome/It’s Ok
Llevar a alguien (en coche en moto…),To give somebody a lift
Qué tiene que ver esto con…,What does it have to do with…
Me gustaria dar un paseo.,I’d like to go for a walk.
No se come se usa.,I don’t know how to use it.
Salgo del trabajo a las seis.,I get off of work at 6.
Pensaba que la ropa era mas barata.,I thought the clothes were cheaper.
Vas a asistir a su boda?,Are you going to attend their wedding?
A las siete de la tarde/ noche.,At 7 o'clock at night
Me puede dar un recibido por favor?,Can I have a receipt please?
Me puedes dar la cuenta por favor?,Can I have the bill please?
Nos puedes dar un menu por favor?,Can we have a menu please?
¿Puedes volver a llamar más tarde?, Can you call back later? 
Puedes decir eso otra vez por favor?,Can you please say that again?
¿Cómo se dice en inglés?,How do you say it in English?
¿Cómo se escribe la palabraSeattle?,How do you spell the word Seattle?
¿Cómo de lejos está Chicago?.,How far is it to Chicago?
¿Cuánto tiempo has estado allí?.,How long have you been here?
¿Cuánto tiempo has vivido aquí?.,How long have you lived here?
¿Cuánto tiempo has trabajado aquí?.,How long have you worked here?
¿Cuánto cuesta cada día?.,How much does it cost per day?
No conozco como se usa esto.,I don't know how to use it
No entiendo lo que estás diciendo.,I do not understand what you are saying
Necesito que esto llegue para mañana.,I need this to get there by tomorrow
Una taza de té por favor.,I'll have a cup of tea please
Un vaso de agua por favor.,I'll have a glass of wáter please
Voy a America el año que viene.,I'm going to America next year
Hay un cine cerca de aquí?.,Is there a movie theater nearby?
Hay una discoteca en el pueblo?.,Is there a nightclub in town?
Hay una tienda cerca de aquí?.,Is there a store near here?
Tu casa es parecida a esta?.,Is your house like this one?
Tu marido también es de Bostón?.,Is your husband also from Boston?
He estado aquí desde hace dos días.,I've been here for two days
Vamos a encontrarnos delante del hotel.,Let's meet in front of the hotel
Mi móvil no tiene Buena cobertura.,My cell phone doesn't have good reception
Te caen bien tus compañeros de trabajo?,Do you like your co-workers?
Piensas que va a llover hoy?,Do you think it'll rain today?
Esta carretera va a Nueva York?,Does this road go to New York?
No se come se usa.,I don't know how to use it.
Me gustaria dar un paseo.,I'd like to go for a walk.
El libro esta debajo de la mesa.,The book is under the table.
¿Puedes hablar más despacio por favor?,Can you slow down please?
¿Qué pasa? ¿Hay algún problema?,What’s the matter?
Que sea lo que Dios quiera,It’s in the lap of the Gods
No puedo más (en la vida),I’ve enough on my plate
Así es la vida,Such is life/That’s life/Life’s like that
Eso es lo que cuenta,That’s what matters/That’s all that matters
Me estoy meando. Lo usan sobre todo las chicas,The seal is broken
Modo informal de decir que te apetece comer o beber algo,To murder something
¿Puedes traducir esto para mi?,Can you translate this for me?
Chicago es muy diferente de Boston.,Chicago is very different from Boston.
Es el senor Smith un Americano?,Is Mr. Smith an American?
A las siete de la mañana.,At 7 o'clock in the morning
Puedo ver tu pasaporte por favor?,Can I see your Passport please?
Puedes tirar eso para mí?,Can you throw that away for me?
¿Has estado alguna vez en Boston?,Have you been to Boston?
¿Has comido en este restaurante?,Have you eaten at that restaurant?
Dijo que era un buen sitio.,He said this is a nice place
Dijo que te gusta ver películas.,He said you like to watch movies
Piensa que no queremos ir.,He thinks we don't want to go
¿Cómo sabe? ¿Qué sabor tiene?,How does it taste?
Salgo del trabajo a las seis.,I get off of work at 6
Tengo muchas cosas que hacer.,I have a lot of things to do
Tengo una cosa que te quiero preguntar.,I want ask you a question
Pensaba que la ropa era más barata.,I thought the clothes were cheaper
Quería un cuarto de no fumadores.,I'd like a non'smoking room
Quería cambiar esto por dólares.,I'd like to exchange this for dollars
Me gustaría dar un paseo.,I'd like to go for a walk
Me gustaría ir a la tienda.,I'd like to go the store
Me gustaría hacer una llamada.,I'd like to make a phone call
Quería mandar esto a America.,I'd like to send this to America
Te llamaré en cuanto me vaya.,I'll call you when I leave
Vuelvo a casa en cuatro días.,I'm going home in four days
Estoy buscando el apartado de correos.,I'm looking for the post office
Hay un guía en Inglés?.,Is there an English speaking guide?
Cuesta 20 dólares por hora?.,It costs 20 dollars per hour?
Se supone que va a llover mañana.,It's suppose to rain tomorrow
He trabajado allí por 5 años.,I've worked there for five years
Mi abuela se murió el año pasado.,My grandmother passed away last year
Mi casa está cerca del banco.,My house is close to the bank
Sabes dónde están mis gafas?,Do you know where my glasses are?
Te gusta ver la televisión?,Do you like to watch TV?.
Quieres ir al cine?,Do you want to go to the cinema?
Llevame a esta direccion por favor.,Please take me to this address.
"Muy bien, gracias.","Very good, thanks."
¿Estás bien? ¿te ocurre algo?,Are you alright?
No puedo estar más de acuerdo contigo,I couldn’t agree more!
¡Aquí hace un calor insoportable!,It’s boiling in here!
¡Oh Dios! / ¡Dios mio!,Oh dear!
¿Qué demonios estás haciendo?,What the hell are you doing?
Invita la casa/por cuenta de la casa,It’s on the house
Vigila a…/Echa un ojo a…,Keep an eye on…
Estás en tu casa (expresión de cortesía),Make yourself at home
Forma políticamente correcta de decir “Oh my God”,Oh my Gosh
Ser un capullo/gilipollas (se pronuncia dicked),To be a dickhead
Ser un auténtico [adjetivo],To be such a [adjetivo]
Librarse de [algo/alguien],To get rid of [algo/alguien
Pasarlo bien / divertirse / pasarlo pipa,To have a blast
Estar loco obsesionado por algo,To have a thing about [something]
No te quiero molestar.,I don’t want to bother you.
Estoy viniendo a recogerte.,I’m coming to pick you up.
Pienso que es muy bueno.,I think it’s very good.
Es mas de dos millas.,It’s longer than 2 miles.
Are they coming this evening?, Van a venir esta noche?
A las tres de la tarde,At 3 o'clock in the afternoon
Pueso usar el internet aquí?,Can I access the internet here?
Me prestas un poco de dinero?,Can I borrow some money?
Puedes llevar esto para mi?,Can you carry this for me?
Me puedes hacer un favor?,Can you do me a favor?
Me puedes dar un ejemplo?,Can you give me an example?
Puedes sujetar esto para mí?,Can you hold this for me?
Puedes recomendar un buen restaurante?,Can you recommend a good restaurant?
Puedes hablar más alto por favor?,Can you speak louder please?
Chicago es muy diferente de Boston.,Chicago is very different from Boston
¿Has estado esperando mucho tiempo?,Have you been waiting long?
¿Cuánto tarda el vuelo?.,How long is the flight?
¿Cuánto va a tardar?.,How long will it take?
¿Cuántos hijos tienes?.,How many children do you have?
¿Cuántos idiomas hablas?.,How many languages do you speak?
¿Cuánto cuestan los pendientes?.,How much are these earrings?
¿Cuánto te debo?.,How much do I owe you?
¿Cuánto dinero tienes?.,How much money do you have?
¿Cuánto dinero ganas?.,How much money do you make?
¿Cuánto va a costar?.,How much will it cost?
No hablo ingles muy bien.,I don't speak English very well
Tengo un dolor en mi brazo.,I have pain in my arm
Todavía tengo mucho que hacer.,I still have a lot to do
Pienso que tienes demasiada ropa.,I think you have too many clothes
Normalmente bebo café por el desayuno.,I usually drink coffee at breakfast
Te quiero dar un regalo.,I want to give you a gift
Me gustaría usar el internet.,I'd like to use the internet
Estoy pendiente (teléfono).,I'm on hold (pone)
Estoy muy bien. gracias.,I'm very well. thank you
Está John por favor?., Is John there please?.
Es esto un lugar seguro?.,Is this a safe area?
Es este el señor Smith?.,Is this Mr. Smith?
Está tu padre en casa?.,Is your father at home?
Son las 11.30 de la noche.,It's 11.30 pm
Va a hacer calor hoy.,It's going to be hot today
Juan se va de vacaciones mañana.,John is going on vacation tomorrow
Mi cumpleaños es el 27 de Agosto.,My birthday is August 27th
A tu mujer le gustó California?,Did your wife like California?
Sabes lo qué significa?,Do you know what this means?.
Sabes dónde está ella?,Do you know where she is?.
Te cae bien tu jefe?,Do you like your boss?.
Hay alguien aquí que hable inglés?,Does anyone here speak English?
"Llenalo por favor","Fill it up, please."
No te quiero molestar.,I don't want to bother you.
Pienso que es muy bueno.,I think it's very good.
Estoy viniendo a recogerte.,I'm coming to pick you up.
Es mas de dos millas.,It's longer than 2 miles.
Rellena esta forma/documento por favor.,Please fill out this form.
Tomarias un mensaje por favor?,Would you take a message please?
¿Se te ocurre algo?,Can you think of anything?
¡Qué bien me alegro por ti!,Good for you!
¡Por el amor de Dios!,Oh for goodness sake!
Invito yo,It’s my treat / It’s on me
Por si acaso / Por si las moscas,Just in case
Modo abreviado y vulgar (más aún) de decir motherfucker,Mofo
De vez en cuando,Once in a while/from time to time
Ya/’aham’ (forma de asentir en UK),Seen
Me pone (cachondo a tono…),She turns me on
¡Cállate de una puta vez!,Shut the fuck up!
Mirar por encima del hombro,Stick someone’s nose up at someone
Con esto me gano la vida,This is my bread and butter
Liarse (con alguien plan folleteo),To do [alguien]
"Entonces hay que hacer lo imposible por ganar una apuesta así.","You must go all out to win it."
Comerse el mundo,To set the (whole) world on fire
No hablo muy bien.,I don’t speak very well.
En frente al apartado de correos.,Across from the post office
Amy es la novia de John.,Amy is John's girlfriend
Vas a venir esta noche?,Are you coming this evening?
La vas a ayudar?,Are you going to help her?
A qué hora pasó?,At what time did it happen?
Puedo llevar a mi amigo?,Can I bring my friend?
Puedes llamarme más tarde?,Can you call me back later?
Puedes repetir eso por favor?,Can you repeat that please?
¿Le han conocido ya?,Have they met her yet?
¿Has echo esto antes?,Have you done this before?
¿Has visto esta película?,Have you seen this movie?
Siempre me ayuda con eso.,He always does that for me
No parece una enfermera.,He doesn't look like a nurse
Estudia en la Universidad de Boston.,He studies at Boston University
Volverá en 20 minutos.,He'll be back in 20 minutes
Es un estudiante muy bueno.,He's a very good student
Nunca ha estado en América.,He's never been to America
¿Cómo están tus padres?.,How are your parents?
¿Cómo llegó allí?.,How do I get there?
¿Cómo uso esto?.,How do I use this?
¿Cómo se pronuncia eso?,How do you pronounce that?
¿Cómo se escribe?.,How do you spell it?
¿Cómo está de lejos?.,How far is it?
¿Cuánto cuesta esto?.,How much does this cost?
¿Cómo eres de alto?.,How tall are you?
¿Cómo era la pelicula?.,How was the movie?
¿Cómo era el viaje?.,How was the trip?
¿Cómo va el trabajo?.,How's work going?
No tengo tiempo ahora.,I don't have time right now
No te quiero molestar.,I don’t'want to bother you
Tengo uno en mi coche.,I have one in my car
Tengo que lavar mi ropa.,I have to wash my clothes
Tengo que practicar mi Inglés.,I need to practice my English
Pienso que es muy bueno.,I think it's very good
Creo que dijo otra cosa.,I thought he said something else
Quiero contactar a nuestra embajada.,I want to contact our embassy
Estaba yendo a la librería.,I was going to the library
Me gustaría ir a casa.,I'd like to go home
Me gustaría ir de comprar.,I'd like to go shopping
Quería hacer una reserve.,I'd like to make a reservation
Quería alquilar un coche.,I'd like to rent a car
Quería enviar un fax.,I'd like to send a fax
Le dire que has llamado.,I'll tell him you called
Mido 6 pies y 2 pulgadas.,I'm 6'2”
Estoy viniendo a recogerte.,I'm coming to pick you up
Estoy bien y tú?.,I'm fine and you?
Estoy preparando para salir.,I'm getting ready to go out
Hay correo para mí?,Is there any mail for me?
Tardas dos horas en coche.,It takes 2 hours by car
Son las 7 menos cuarto.,It's a quarter to 7
Son las 9 y cuarto.,It's a quarter past nine
Es menos que 5 dólares.,It's less than 5 dollars
Es más de 2 millas.,It's longer than 2 milles
Es más de 5 dólares.,It's more than 5 dollars
Es menos de 3 millas.,It's shorter than 3 miles
Nunca he visto eso antes.,I've never seen that before
Mi padre siempre ha estado allí.,My father has been there
Viniste con tú familia?,Did you come with your family?
Vas a Florida frecuentemente?,Do you go to Florida often?
Sabes cuanto cuesta?,Do you know how much it costs?
Sabes lo qué dice?,Do you know what this says?
Te gusta el libro?,Do you like the book?.
Juegas a algunos deportes?,Do you play any sports?.
Crees qué es posible?,Do you think it's possible?
Quieres venir conmigo?,Do you want to come with me?
Quieres ir conmigo?,Do you want to go whit me?
No hablo muy bien.,I don't speak very well.
Nunca he visto eso.,I've never seen that before.
Todas tus cosas estan aqui.,Your things are all here.
¡Jesús! / ¡Salud!,Bless you!
¿Te parece bien?,Is that ok for you?
Perdone no le he entendido,Sorry I didn’t catch that
Menuda gilipollez / eso es mentira,That’s bullshit!
Qué incordio qué pesadilla qué fastidio,What pain in the neck
Mandar a la mierda a alguien o cabrear alguien,Piss off
Estar en la onda/al día,To be on the ball
Acostarse tener sexo con alguien echar un polvo,To get laid
Malcriar/mimar/consentir a alguien,To spoil [somebody] rotten
¿Qué estabas haciendo?,What were you up to?
¿Quién coño…?,Who on earth….?
¿Tú y cuantos más?,You and what army?
No me cae bien.,I don’t like him.
Tengo un dolor de cabeza.,I have a headache.
Volvere’ mas tarde.,I’ll come back later.
Estoy limpiando mi cuarto.,I’m cleaning my room.
Estoy bien y tu?,I’m good and you?
No estoy listo todavia.,I’m not ready yet.
Necesito cambiar de ropa.,I need to change clothes.
Necesito ir a casa.,I need to go home.
Solo quiero una merienda.,I only want a snack.
Creo que sabe bien.,I think it tastes good.
Un billete de ida y vuelta.,A round trip ticket
Lo estoy pronunciando correctamente?,Am I pronouncing it correctly?
Eres alérgico a algo?,Are you allergic to anything?
Estás esperando a alguien?,Are you waiting for anyone?
Están tus hijos contigo?,Are you children with you?
Quieres dejar un mensaje?,Can I take a message?
Puedo usar tu teléfono?,Can I use your phone?
Puedes llamar más tarde?,Can we sit over there?
¿Has terminado de estudiar?,Have you finished studying?
Es más rápido que yo.,He's faster than me
No está aquí ahora.,He's not in right now
Su cuarto es muy pequeño.,His room is very small
¿Cómo vas a pagar?,How are you paying?
¿Cuánto es eso?.,How much is that?
¿Cuánto es esto?.,How much is this?
¿Cuánto quieres?.,How much would you like?
¿Cuántos años tienes?.,How old are you?
¿Cómo va la empresa?.,How's business?
¿Cómo está el tiempo?,How's the weather?
No te escucho claramente.,I can't hear you clearly
No tengo una novia.,I don't have a girlfriend
No tengo suficiente dinero.,I don't have enough money
No me cae bien.,I don’t't like him
No hablo muy bien.,I don’t speak very well
No he terminado de comer.,I haven't finished eating
Todavía no he almorzado.,I haven't had lunch yet
Me gusta ver la TV.,I like to watch TV
Hablo un poquito de Inglés.,I speak a little English
Te quiero mostrar algo.,I want to show you something
Yo estaba en la librería.,I was in the library
Quería una habitación individual.,I'd like a single room
Me gustaría comprar algo.,I'd like to buy something
Te llamaré el Viernes.,I'll call you on Friday
Te hare una llamada.,I'll give you a call
Tendré la misma cosa.,I'll have the same thing
Pagaré por los billetes.,I'll pay for the tickets
Tengo alergia a los mariscos.,I'm allergic to seafood
Voy a cenar.,I'm going to go have dinner
Está lejos el banco?.,Is the bank far?
Hay algo más barato?.,Is there anything cheaper?
Está tu hijo aquí?.,Is your son here?
Hará frio esta noche.,It'll be cold this evening
Son las 6 de la mañana.,It's 6 Am
Va a nevar hoy.,It's going to snow today
Son las 11 y media.,It's half past 11
Está al norte de aquí.,It's north of here
Está en la calle séptima.,It's on 7th street
Dejame pensar acerca de ello.,Let me think about it
Mi coche no está funcionando.,My car isn't working
Mi móvil no funciona.,My cell phone doesn't work
Mi padre es un abogado.,My father is a lawyer
Me han robado el reloj.,My watch has been stolen
Me mandastes flores?,Did you send me flowers?.
Tienes una piscina?,Do you have a swimming pool?
Tienes sitios libres?,Do you have any vacancies?.
Tienes algo más barato?,Do you have anything cheaper?
Tomas cartas de crédito?,Do you take credit cards?
Le gusta la escuela?,Does he like the school?
No me cae bien.,I don't like him.
Volvere' mas tarde.,I'll come back later.
Estoy limpiando mi cuarto.,I'm cleaning my room.
No estoy listo todavia.,I'm not ready yet.
Vamos a ver.,Let's go have a look.
Vamos a practicar el ingles.,Let's practice English.
Entiéndeme no me malinterpretes,Don’t get me wrong!
¡Largo de aquí!,Get out of here!
Ojalá ¡ya me gustaría!,Oh I wish!
Si tú lo dices…,If you say so…
Hace un día horrible,It’s miserable out there!
¡Muy bien sigue así!,Keep it up!
Me has alegrado el día,You made my day!
Está para chuparse los dedos,It’s finger licking good
Para que no (te) olvides,Lest you forget
Palabras necias oídos sordos,Like water off duck’s back
No te preocupes / no es molestia,No bother
No vale un duro,Not worth a penny/red cent
Como caído del cielo(inesperado),Out of the blue
Jesús (para cuando alguien estornuda),Pleasure/Bless you
Te entiendo (el punto de vista),Point taken
Ponerse juguetón (en sentido sexual),To get frisky
Ir de flor en flor,To sow your wild oats
¡Vaya/menuda estafa!,What a rip off!
Estás en forma / Estás bueno,You’re fit
De vez en cuando.,From time to time.
Le gusta mucho.,He likes it very much.
Como va el trabajo?,How’s work going?
No te oigo.,I can’t hear you.
No me gusta.,I don’t like it.
No lo quiero.,I don’t want it.
No quiero eso.,I don’t want that.
Lo tomare’ yo.,I’ll take it.
He perdido mi reloj.,I lost my watch.
Voy a irme.,I’m going to leave.
Estás libre esta noche?,Are you free tonight?
Vas a trabajar mañana?,Are you working tomorrow?
Traeme mi camisa por favor,Bring me my shirt please
Lo puedo probar?,Can I try i ton?
Puede ser más barato?,Can it be cheaper?
¿Has comido ya?,Have you eaten yet?
Tiene un buen coche.,He has a nice car
Nunca me da nada.,He never gives me anything
Aquí tienes lo que ordenaste.,Here's your order
Está en la cocina.,He's in the kitchen
Su familia viene mañana.,His family is coming tomorrow
¿Cómo lo sabes?,How do you know?
¿Cuánto tarda?.,How long is it?
¿Cuánto todo junto?.,How much altogether?
¿Cuánto es?.,How much is it?
Compré una camiseta ayer.,I bought a shirt yesterday
Vine con mi familia.,I came with my family
No me siento bien.,I don't feel well
No tengo dinero.,I don't have any money
Tengo un dolor de cabeza.,I have a headache
Nunca he estado allí.,I haven't been there
Me gusta la comida italiana.,I like Italian food
Necesito cambiar de ropa.,I need to change clothes
Necesito ir a casa.,I need to go home
Solo tengo 5 dólares.,I only have 5 dollars
Solo quiero una merienda.,I only want a snack
Todavía no he decidido.,I still haven't decided
Creo que sabe bien.,I think it tastes good
Ojala que tuviera uno.,I wish I had one
Pagaré por la cena.,I'll pay for dinner
Tomaré eso también.,I'll take that one also
Mi talla es ocho.,I'm a size 8
Estoy limpiando mi habitación.,I'm cleaning my room
Estoy aquí de trabajo.,I'm here on business
No estoy listo todavía.,I'm not ready yet
Es este tu bolígrafo?,Is this pen yours?
Es el 25 de Agosto.,It's August 25th
Está lejos de aquí.,It's far from here
Esta cerca el supermercado.,It's near the Supermarket
No es demasiado lejos.,It's not too far
No es tan caro.,It's not very expensive
Hace mucho frío hoy.,It's very cold today
Ya lo he visto.,I've already seen it
Nunca he hecho eso.,I've never done that
Vamos a ver.,Let's go have a look
Vamos a practicar el Inglés.,Let's practice English
Me llamo John Smith.,My name is John Smith
Recibiste mi email?,Did you get my email?
Aceptas dólares americanos?,Do you accept US Dollars?
Te sientes mejor?,Do you feel better?.
Tiene un novio?,Do you have a boyfriend?
Tiene una novia?,Do you have a girlfriend?
Tienes un lápiz?,Do you have a pencil?
Tienes un problema?,Do you have a problem?
Tienes una cita?,Do you have a appointment?
Tienes hijos?,Do you have any children?.
Tienes dinero?,Do you have any money?.
Tienes bastante dinero?,Do you have enough money?
Sabes cocinar?,Do you know how to cook?
Te gusta aquí?,Do you like it here?
Como va el trabajo?,How's work going?
No te oigo.,I can't hear you.
No me gusta.,I don't like it.
No lo quiero.,I don't want it.
No quiero eso.,I don't want that.
Lo tomare' yo.,I'll take it.
Voy a irme.,I'm going to leave.
Gracias por tu ayuda.,Thanks for your help.
Eso es correcto/esta bien.,That's right.
Volveran en seguida.,They'll be right back.
Esto es muy dificil.,This is very difficult.
Esto es muy importante.,This is very important.
Nos gusta mucho.,We like it very much.
¡Échale un vistazo!,Check it out!
Es una amor es encantadora,She’s lovely!
!Qué suerte la tuya!,Lucky you!
¿Dónde quedamos?,Where shall we meet?
Le hace la vida imposible,Is giving him hell
Me suena a chino,It sounds Greek to me
Llueve a cántaros,It’s raining cats and dogs
De tal palo tal astilla,Like father like son
¡Cuánto tiempo!,Long time no see!
Decídete / Decide tú,Make up your mind
Ni hablar / De ninguna manera,No way
Sin problema / no te preocupes,No worries
No es lo mío,Not my cup of tea
Una vez en la vida,Once in a lifetime
Distinto perro mismo collar,Paint from the same brush
Como yo / Yo también,So do I
Te aguantas / Te jodes,Suck it up
Hablando del rey de Roma,Talking of the devil
A eso me refiero,That’s what I mean
Pedir peras al olmo,To ask for the moon
Tirarse a alguien,To bang/screw [alguien]
Sentirse mal/enfermo,To be/feel under the weather
Dar algo por terminado,To call it a day
Agarrarse a un clavo ardiendo, clutch at straws
Estar deprimido de capa caída…,To feel blue
Pillarle el truco,To get the hang of it
Querer dejar clara una cosa,To make a point
Tren con destino a..,Train bound for
¡Vaya imbécil!,What a horse’s ass
¿Qué cojones…?,What the fuck?
Estás solo en esto,You are on your own
Te la estás jugando,You’re on thin ice
Es muy molestoso.,He’s very annoying.
Es muy famoso.,He’s very famous.
Soy un Americano.,I’m an American.
No estoy ocupado.,I’m not busy.
No estoy casado.,I’m not married.
No estoy seguro.,I’m not sure.
