esp,ing
"Que tengas un buen día","Have a nice day"
"Saludos","Greetings"
"Te veo más tarde","Catch you later"
"Cuídate","Take care"
"Adiós","Goodbye"
"Hasta luego","See you later"
"Hasta pronto","See you soon"
"Hasta mañana","See you tomorrow"
"Chau","Bye"
"Nos vemos","See you"
"Cuídate","Take care"
"Que tengas un buen día","Have a good day"
"Que tengas una buena tarde","Have a good afternoon"
"Que tengas una buena noche","Have a good night"
"Buen fin de semana","Have a great weekend"
"Hasta la próxima","Until next time"
"Hasta la vista","Until we meet again"
"Que te vaya bien","Take it easy"
"Suerte","Good luck"
"Descansa","Rest well"
"Diviértete","Have fun"
"Nos hablamos","We'll talk"
"Te veo más tarde","Catch you later"
"Nos vemos pronto","See you shortly"
"¿Cómo estás?","How are you?"
"¿Cómo te encuentras?","How are you feeling?"
"¿Qué tal?","What's up?"
"¿Cómo te va?","How's it going?"
"¿Cómo ha sido tu día?","How has your day been?"
"Estoy bien, gracias","I'm fine, thank you"
"Todo bien","All good"
"No me puedo quejar","Can't complain"
"Un poco cansado/a","A bit tired"
"Más o menos","So-so"
"No muy bien","Not so good"
"Estoy un poco enfermo/a","I'm feeling a bit sick"
"Estoy estresado/a","I'm stressed"
"Estoy feliz","I'm happy"
"He tenido un día ocupado","I've had a busy day"
"Mi nombre es Arbey Aragon Bogorquez","My name is Arbey Aragon Bogorquez"
"Soy de Bogotá, Colombia","I'm from Bogotá, Colombia"
"Vivo en Bogotá, Colombia","I live in Bogotá, Colombia"
"Trabajo como ingeniero mecatrónico y desarrollador de software","I work as a mechatronics engineer and software developer"
"Estudié en la Universidad Nacional de Colombia","I studied at the National University of Colombia"
"Me dedico a desarrollar proyectos que involucren diferentes tecnologías","I'm involved in developing projects that involve different technologies"
"Tengo 30 años","I'm 30 years old"
"Mis hobbies son hacer jiujitsu y viajar","My hobbies are practicing jiujitsu and traveling"
"No tengo hijos","I have no children"
"Me encanta hacer jiujitsu","I love practicing jiujitsu"
"Tengo experiencia en el área de deep learning","I have experience in the area of deep learning"
"Me gradué de la Universidad Nacional de Colombia con un título en Ingeniería Mecatrónica","I graduated from the National University of Colombia with a degree in Mechatronics Engineering"
"En Colombia, trabajo como desarrollador de software","In Colombia, I work as a software developer"
"En mi tiempo libre, me gusta viajar","In my free time, I like to travel"
"Me interesé en la Ingeniería Mecatrónica porque quería combinar mis habilidades en mecánica, electrónica y programación","I became interested in Mechatronics Engineering because I wanted to combine my skills in mechanics, electronics, and programming"
"Mi mayor logro en el campo del deep learning ha sido desarrollar un algoritmo de aprendizaje profundo que mejora la eficiencia en sistemas de automatización","My biggest achievement in the field of deep learning has been developing a deep learning algorithm that improves efficiency in automation systems"
"Me involucré en el desarrollo de software a través de mi formación en Ingeniería Mecatrónica y mi interés en la programación","I got involved in software development through my training in Mechatronics Engineering and my interest in programming"
"He trabajado en varios proyectos multidisciplinarios que combinan la ingeniería mecánica, la electrónica y la informática para desarrollar soluciones innovadoras","I have worked on several multidisciplinary projects that combine mechanical engineering, electronics, and computer science to develop innovative solutions"
"Aplico mis habilidades de ingeniería mecatrónica en el desarrollo de software al utilizar mi conocimiento de mecánica y electrónica para diseñar sistemas de control y automatización","I apply my mechatronics engineering skills in software development by using my knowledge of mechanics and electronics to design control and automation systems"
"Practicar jiujitsu me ha enseñado disciplina, concentración y resistencia, cualidades que aplico en mi vida profesional al enfrentar desafíos y resolver problemas complejos","Practicing jiujitsu has taught me discipline, focus, and resilience, qualities that I apply in my professional life when facing challenges and solving complex problems"
"Tengo más de tres años de experiencia trabajando con big data y datos financieros","I have more than three years of experience working with big data and financial data"
"He contribuido en la producción de artículos académicos relacionados con el análisis de datos financieros utilizando modelos predictivos","I have contributed to the production of academic articles related to financial data analysis using predictive models"
"Actualmente soy el CTO de CETREAL, una empresa de realidad mixta que trabaja con gafas Magic Leap y Hololens en Colombia","I am currently the CTO of CETREAL, a mixed reality company working with Magic Leap and Hololens glasses in Colombia"
"Desarrollo modelos de inteligencia artificial para su implementación en gafas Magic Leap y Hololens","I develop artificial intelligence models for implementation in Magic Leap and Hololens glasses"
"Trabajo programando aplicaciones con arquitectura escalable en la plataforma Google Cloud Platform (GCP)","I work on programming applications with scalable architecture on the Google Cloud Platform (GCP)"
"Formé parte del equipo ganador en la Hackathon de inteligencia artificial en el evento AI LATIN AMÉRICA SUMMIT en el MIT","I was part of the winning team in the artificial intelligence Hackathon at the AI LATIN AMÉRICA SUMMIT event at MIT"
"Fui parte de ALGOS Trade, un grupo de investigación de la Universidad Nacional de Colombia que estudia técnicas de aprendizaje automático aplicadas a las finanzas","I was part of ALGOS Trade, a research group from the National University of Colombia that studies machine learning techniques applied to finance"
"Mis habilidades incluyen ciencia de datos, aprendizaje automático, computación en la nube con GCP, comercio algorítmico, desarrollo web para aplicaciones escalables y dominio de varios lenguajes de programación y tecnologías","My skills include data science, machine learning, cloud computing with GCP, algorithmic trading, web development for scalable apps, and proficiency in various programming languages and technologies"
"¿Cuál es la cultura y los valores principales de la empresa?","What is the culture and core values of the company?"
"¿Cuáles son las responsabilidades clave del puesto?","What are the key responsibilities of the position?"
"¿Qué habilidades y conocimientos son esenciales para tener éxito en este puesto?","What skills and knowledge are essential for success in this position?"
"¿Cuáles son las oportunidades de crecimiento y desarrollo profesional dentro de la empresa?","What are the growth and professional development opportunities within the company?"
"¿Qué tipo de proyectos y tecnologías maneja la empresa?","What type of projects and technologies does the company work with?"
"¿Cuál es el proceso de evaluación del desempeño y cómo se proporciona retroalimentación a los empleados?","What is the performance evaluation process and how is feedback provided to employees?"
"¿Cómo es el equilibrio entre trabajo y vida personal en la empresa?","What is the work-life balance like at the company?"
"¿Qué tipo de capacitación y apoyo se brinda a los nuevos empleados?","What kind of training and support is provided to new employees?"
"Es un placer conocerlo, ¿cómo ha sido su experiencia en el mundo de las inversiones hasta ahora?","It's a pleasure to meet you, how has your experience been in the investment world so far?"
"He oído hablar mucho sobre su éxito en inversiones anteriores, ¿podría compartir alguna de sus experiencias más interesantes?","I've heard a lot about your success in previous investments, could you share some of your most interesting experiences?"
"¿Cuáles son algunas tendencias en tecnología o industria que más le interesan en este momento?","What are some technology or industry trends that interest you the most at the moment?"
"Nuestra empresa se centra en la innovación y el desarrollo sostenible. ¿Qué aspectos de nuestra empresa le parecen más atractivos?","Our company focuses on innovation and sustainable development. What aspects of our company do you find most appealing?"
"Sería interesante conocer su opinión sobre cómo la inteligencia artificial está influyendo en el panorama empresarial actual","It would be interesting to know your opinion on how artificial intelligence is influencing the current business landscape"
"Nos gustaría saber más sobre su enfoque en la selección de empresas para invertir, ¿qué factores considera clave para una inversión exitosa?","We would like to know more about your approach to selecting companies to invest in, what factors do you consider key for a successful investment?"
"¿Ha tenido la oportunidad de revisar nuestra propuesta de negocio? Nos encantaría escuchar sus comentarios y opiniones al respecto","Have you had a chance to review our business proposal? We would love to hear your feedback and opinions on it"
"¿Cuál ha sido el mayor desafío que ha enfrentado como inversionista y cómo lo ha superado?","What has been the biggest challenge you have faced as an investor and how did you overcome it?"
"Hola, mi nombre es Arbey Aragon Bohorquez, soy parte de CETREAL SAS, una empresa dedicada al desarrollo de software para inteligencia artificial, realidad virtual aumentada y mixta, e integración de aplicaciones","Hi, my name is Arbey Aragon Bohorquez, I'm part of CETREAL SAS, a company focused on developing software for artificial intelligence, augmented and mixed reality, and application integration"
"Nuestra empresa, CETREAL SAS, ha estado operando durante 4 años y estamos buscando inversores que compartan nuestra visión de innovación en inteligencia artificial y realidad mixta","Our company, CETREAL SAS, has been operating for 4 years and we are looking for investors who share our vision for innovation in artificial intelligence and mixed reality"
"Actualmente contamos con 4 inversionistas, de los cuales 3 también son desarrolladores, lo que demuestra nuestro compromiso y habilidades en el área","We currently have 4 investors, of which 3 are also developers, showcasing our commitment and skills in the field"
"Creemos que nuestra experiencia en desarrollo de software para inteligencia artificial y realidad mixta puede ser de gran interés para potenciales inversionistas como usted","We believe that our expertise in developing software for artificial intelligence and mixed reality can be of great interest to potential investors like yourself"
"Me gustaría presentarles CETREAL SAS y cómo nuestras soluciones pueden cambiar la forma en que las empresas interactúan con la tecnología de inteligencia artificial y realidad mixta","I would like to introduce you to CETREAL SAS and how our solutions can change the way businesses interact with artificial intelligence and mixed reality technology"
"Estamos muy interesados en hablar con usted sobre oportunidades de inversión y cómo podemos colaborar para llevar nuestras innovaciones al siguiente nivel","We are very interested in talking with you about investment opportunities and how we can collaborate to take our innovations to the next level"
"¿Podría decirme cómo llegar al centro comercial más cercano?","Could you tell me how to get to the nearest shopping mall?"
"¿Cuál es la mejor manera de llegar al aeropuerto?","What's the best way to get to the airport?"
"¿Dónde puedo encontrar una estación de metro cerca de aquí?","Where can I find a subway station near here?"
"¿Cuánto tiempo me tomará llegar a la estación de tren?","How long will it take me to get to the train station?"
"¿Cuál es la ruta más rápida para llegar al museo?","What is the quickest route to get to the museum?"
"Para llegar al centro comercial más cercano, toma la segunda salida en la próxima rotonda y sigue derecho durante dos cuadras","To get to the nearest shopping mall, take the second exit at the next roundabout and continue straight for two blocks"
"La mejor manera de llegar al aeropuerto es tomar el autobús expreso que sale cada 30 minutos desde la estación central","The best way to get to the airport is to take the express bus that leaves every 30 minutes from the central station"
"Hay una estación de metro a tres cuadras de aquí, justo al lado del supermercado","There's a subway station three blocks from here, right next to the supermarket"
"Llegar a la estación de tren te tomará aproximadamente 20 minutos en coche o 30 minutos en transporte público","It will take you approximately 20 minutes by car or 30 minutes by public transportation to get to the train station"
"La ruta más rápida para llegar al museo es tomar la calle principal hacia el este durante cinco cuadras, luego girar a la derecha y caminar dos cuadras más","The quickest route to get to the museum is to take the main street east for five blocks, then turn right and walk two more blocks"
"¿Cuánto cuesta este artículo?","How much does this item cost?"
"¿Tienen este producto en otro color?","Do you have this product in another color?"
"¿Cuál es el precio si compro dos de estos?","What is the price if I buy two of these?"
"¿Puedo probarme esta prenda antes de comprarla?","Can I try on this garment before buying it?"
"¿Hay alguna promoción o descuento en estos productos?","Are there any promotions or discounts on these products?"
"Este artículo cuesta 50 dólares","This item costs 50 dollars"
"Sí, tenemos este producto en azul, rojo y verde","Yes, we have this product in blue, red, and green"
"Si compra dos de estos, el precio será de 90 dólares en total","If you buy two of these, the price will be 90 dollars in total"
"Por supuesto, hay probadores disponibles para que pueda probarse la prenda antes de comprarla","Of course, there are fitting rooms available for you to try on the garment before buying it"
"Actualmente, hay una promoción de 'compre uno y obtenga el segundo al 50% de descuento' en estos productos","Currently, there's a 'buy one, get the second one at 50% off' promotion on these products"
"¿Podría darme un descuento si compro más de uno?","Could you give me a discount if I buy more than one?"
"Este producto parece un poco caro, ¿podría bajar el precio?","This product seems a bit expensive, could you lower the price?"
"He visto este artículo más barato en otra tienda, ¿podrían igualar ese precio?","I've seen this item cheaper at another store, could you match that price?"
"Si compro varias unidades, ¿me podrían hacer una oferta especial?","If I buy multiple units, could you make me a special offer?"
"Este artículo tiene un pequeño defecto, ¿podría ofrecerme un descuento?","This item has a small defect, could you offer me a discount?"
"Estoy interesado en comprar varios productos, ¿podríamos negociar un mejor precio?","I'm interested in buying multiple products, could we negotiate a better price?"
"Si pago en efectivo, ¿habría alguna posibilidad de obtener un descuento?","If I pay cash, would there be any chance of getting a discount?"
"¿Podrías coordinar tu agenda con la mía para la próxima semana?","Could you sync your schedule with mine for next week?"
"Por favor, envía un mensaje rápido a Juan sobre la reunión de mañana.","Please ping Juan about tomorrow's meeting."
"Nuestra fecha límite para el proyecto es el próximo viernes.","Our deadline for the project is next Friday."
"¿Cuántos ingresos esperamos este trimestre?","How much revenue do we expect this quarter?"
"El beneficio del último trimestre superó nuestras expectativas.","Last quarter's profit exceeded our expectations."
"Nuestro presupuesto para el próximo proyecto es bastante limitado.","Our budget for the next project is quite limited."
"La principal prioridad ahora mismo es aumentar las ventas.","The top priority right now is to increase sales."
"Nuestra marca ha ganado reconocimiento en el mercado.","Our brand has gained recognition in the market."
"Estoy trabajando con un consultor para mejorar nuestras estrategias de marketing.","I'm working with a consultant to improve our marketing strategies."
"Nuestro equipo está trabajando duro para cumplir con la fecha límite.","Our team is working hard to meet the deadline."
"El impuesto sobre las ventas ha impactado nuestros beneficios.","The sales tax has impacted our profits."
"Nuestro entrenador está ayudando al equipo a mejorar su rendimiento.","Our coach is helping the team improve their performance."
"El pago por el servicio se realizará a final de mes.","Payment for the service will be made at the end of the month."
"¿Puedes poner en la agenda una sincronización con el equipo de ventas esta semana?","Can you book a sync with the sales team this week?"
"Envíame un ping cuando termines la presentación.","Ping me once you finish the presentation."
"La fecha límite para la presentación del informe de ingresos es el próximo lunes.","The deadline for the submission of the revenue report is next Monday."
"Estamos proyectando un aumento de los ingresos en el segundo trimestre.","We're projecting an increase in revenue for the second quarter."
"El beneficio del proyecto superó el presupuesto inicial.","The profit from the project exceeded the initial budget."
"Nuestra prioridad para este trimestre es reducir gastos.","Our priority for this quarter is to reduce expenses."
"Necesitamos contratar a un consultor para mejorar la imagen de nuestra marca.","We need to hire a consultant to improve our brand image."
"El equipo de marketing está trabajando en una nueva estrategia de marca.","The marketing team is working on a new brand strategy."
"Hemos pagado los impuestos correspondientes al primer trimestre.","We have paid the taxes for the first quarter."
"El entrenador está preparando al equipo para la próxima fase del proyecto.","The coach is preparing the team for the next phase of the project."
"El pago por los servicios del consultor se realizará al final del proyecto.","The payment for the consultant's services will be made at the end of the project."
"Debemos reunirnos para ponernos al día con lo que me perdí la semana pasada.","Let's meet and catch up on what I missed last week."
"Necesito hablar con mi jefe y podemos retomar este tema la próxima semana.","Let me talk to my boss, and we can circle back next week on this topic."
"Nuestro proyecto principal está terminado. Creo que podemos asumir este nuevo proyecto.","Our main project is finished. I think we can take on this new project."
"¿Puedes poner al tanto a Mike sobre lo que ocurrió la semana pasada?","Can you fill Mike in on what happened last week?"
"Pasemos la nueva documentación a Jerry del departamento de marketing para su revisión.","Let's run the new documentation by Jerry from marketing."
"He decidido aplazar la reunión hasta que todos los miembros del equipo estén disponibles.","I've decided to put off the meeting until all team members are available."
"Necesitamos reunirnos para continuar con el mismo tema en otro momento.","We need to circle up to continue the same topic at another time."
"Debido a circunstancias imprevistas, hemos tenido que cancelar la reunión de hoy.","Due to unforeseen circumstances, we've had to call off today's meeting."
"Nuestro nuevo producto está despegando en el mercado.","Our new product is taking off in the market."
"He decidido renunciar a mi posición como líder del equipo.","I've decided to step down from my position as the team leader."
"Necesitamos ponernos al día con las últimas actualizaciones del proyecto.","We need to catch up with the latest updates on the project."
"Después de revisar los datos, haremos una pausa y retomaremos el tema mañana.","After reviewing the data, we'll circle up and continue the topic tomorrow."
"Por favor, informa a Sandra sobre los cambios realizados en el plan.","Please fill Sandra in on the changes made to the plan."
"Tenemos que posponer nuestra reunión hasta el próximo miércoles.","We have to put off our meeting until next Wednesday."
"Podríamos revisar la propuesta con el equipo de finanzas antes de la presentación.","We could run the proposal by the finance team before the presentation."
"Debido a la emergencia, tuvimos que cancelar la reunión de hoy.","Due to the emergency, we had to call off today's meeting."
"Nuestro plan de marketing está despegando y generando resultados positivos.","Our marketing plan is taking off and yielding positive results."
"Después de cinco años como director ejecutivo, he decidido renunciar.","After five years as CEO, I've decided to step down."
"Estamos listos para asumir más responsabilidades en el próximo trimestre.","We are ready to take on more responsibilities in the next quarter."
"Después de nuestra reunión con el cliente, podemos retomar este tema.","After our meeting with the client, we can circle back to this topic."
"No podemos cortar esquinas en este proyecto, la calidad es nuestra principal prioridad.","We can't cut corners on this project, quality is our top priority."
"Necesitamos poner a Javier al corriente con las actualizaciones recientes.","We need to get Javier up to speed with the recent updates."
"Es hora de poner en marcha el proyecto de expansión.","It's time to get the ball rolling on the expansion project."
"Los problemas con el diseño nos han llevado de vuelta al principio.","The issues with the design have taken us back to square one."
"Vamos a ir al grano y discutir el informe de ventas de este trimestre.","Let's get down to business and discuss this quarter's sales report."
"Ha sido un día largo y productivo, es hora de terminar por hoy.","It's been a long, productive day, let's call it a day."
